Q,A,label
남자친구 의 과거 의 동거 를 이해 해줄 수 있어 ?,이해 하기 어려울 거 같아요 ,2
남자친구 의 성적 취향 을 이해 못 하겠어 ,대화 를 해보세요 ,2
남자친구 의 스킨 쉽이 너무 부담 돼 ,좀 더 편하게 생각 해보세요 ,2
남자친구 의 유머 코드 가 너무 안 맞아 ,맞는 사람 을 만나 보세요 ,2
남자친구 의 입냄새 가 고민 이야 ,가글 사줘요 ,2
남자친구 의 전여자친구 가 너무 이뻐서 비교 돼 ,전여자친구 생각 하지 마세요 ,2
남자친구 의 틀리는 맞춤법 이 거슬려 ,지적 하지 말고 맞는 걸 로 계속 이야기 해주세요 ,2
남자친구 의 학력 이 너무 높아서 내 가 부족해 보임,주눅 들 지 마세요 ,2
남자친구 의 혼전순결 이 고민 이야 ,결혼합시다 ,2
남자친구 하고 커플티 를 하고싶은데 어디 거 를 할까 ?,좋아하는 브랜드 가 좋겠어요 ,2
남자친구 한테 서운해,수천 번 생각 해도 이건 아니라고 생각 이 되면 서운하다고 이야기 하세요 ,2
남자친구 한테 아무리 말 해도 자기 말 만해,대화 를 할 수 없겠네요  부드럽게 요구 해보세요 ,2
남자친구 한테 안 설레,큰일 이네 요 ,2
남자친구 한테 정 떨어진 거 같아,사랑 하는 이유 를 생각 해보세요 ,2
남자친구 한테 핸드폰 공개 해 ?,공개 해요 ,2
남자 한테 언제 설레 ?,그런 경우 가 많겠지만 흘리는 말 을 한 걸 안 잊고 기억 해줄 때 요 ,2
남잔 데 남자 좋아해,성적 자기결정권 이 있죠 ,2
남잔 데 남자 를 사랑 하는 거 같아,사랑 하는 방법 은 다양하다고 생각 해요 ,2
남친 멀어진 것 같아,나를 사랑 하지 않는 사람 하고 계속 가는 건 나 자신 을 사랑 하지 않는 사람 들 이나 하는 일이 에요 ,2
남친 생겼는데 호칭 어떻게 해 ?,딱 보면 떠오르는 걸 로 해보세요 ,2
남친 연상 인데 오빠 라고 불러야 해 ?,호칭 은 마음대로 골라 보세요 ,2
남친 요구 가 점점 심해지는 듯,모두 맞춰줄 필요 는 없어요 ,2
남친 있는 짝녀 가 친절한데 무슨 의미 일까 요 ?,직접 의중 을 확인 하는 것 도 방법 이에요 ,2
남친 있는데 다른 사람 이 자꾸 눈 에 들어와 ,상대방 을 헷갈리게 하는건 좋지 않아요 ,2
남친 투 정이 심해,대화 를 통해 적절한 합의 점 을 찾아보세요 ,2
남친 과 살아온 환경 이 너무 달라,서로 인정 하고 배려 해주세요 ,2
남친 에 대한 불신 이 자꾸 들어,믿지 못 할 행동 을 많이 했나 봐요 ,2
남친 이 나를 안 좋아하는 것 같은데 내 가 붙잡고 있는 것 같아 ,충분한 대화 가 필요하겠어요 ,2
남친 이 나를 좋아하는게 맞겠지 ?,그렇게 생각 하는게 도움 이 될 때 가 있지요 ,2
남친 이 나 보다 눈물 이 더 많아,감수성 이 풍부한 사람 이군 요 ,2
남친 이 내 사진 프사 로 안해 ,각자 의 프라이버시 니까 이해 해주세요 ,2
남친 이 내 친구 랑 연락 하는 것 같 애,슬쩍 떠서 확인 해봐요 ,2
남친 이 데이트 시간 을 자꾸 늦어 ,잠 이 많은 남자친구 를 이해 해주세요 ,2
남친 이 사진 잘 찍었으면,계속 알려주세요 ,2
남친 이 안 좋은 사이트 를 하는거 같아 ,빠질까봐 걱정 된다고 말 해보세요 ,2
남친 이 워커홀릭 이야,일 에 질투 가 나겠어요 ,2
남친 이랑 대화 가 잘 돼서 좋아,말 통 하는 게 중요하죠 ,2
남친 이랑 뭐 하고 놀지,얼굴 보고 만 있어도 좋죠 ,2
남편 복 있다는 의미 가 뭐 야 ?,남편 때문 에 행복하다는 거 같아요 ,2
남편 은 진짜 남 의 편 인가 ?,당신 편 으로 만들어 보세요 ,2
남편 을 자꾸 무시 하게 돼,타인 과 비교 하지 말고 장점 을 찾아 칭찬 해주세요 ,2
남편 이 게이 였어,엄청 놀랐겠네요 ,2
남편 이 나를 사랑 한 대,연애 하는 느낌이네요 ,2
남편 이 날 사랑 하지 않는 것 같아  이혼 해야 할까 ?,현실 적 으로 생각 해보세요 ,2
남편 이 날 진심 으로 사랑 하는 걸까 ?,남편 을 의심 하지 마세요 ,2
남편 이 내 의견 무시 해,무시 당하는 기분 이 들어서 너무 외 롭고 상처 받게 된다고 차분하고 부드럽게 말 해보세요 ,2
남편 이 자꾸 만져,같이 만져요 ,2
남편 이 자꾸 만져,질 수 없죠 ,2
남편 이 축가 불러 준대,로맨틱 한 남편 이네 요 ,2
남편 이 츤데레 스타일 이야,귀엽겠네요 ,2
남편 이 효자 인 거 같아,좋게 생각 해보세요 ,2
남편 한테 만족해 ?,그 중 에 낫다 생각 하고 사는 거 죠 ,2
남편 한테 서운한거 얘기 해도 될까 ?,수천 번 생각 해도 이건 아니라고 생각 이 되면 서운하다고 이야기 하세요 ,2
내 가치관 이랑 다른 가치관 을 가지 고 있는 그 남자 를 좋아하는게 힘들어 ,서로 의 가치관 이 평행선 을 이루 지만 않는다면 만날 수도 있을 거 예요 ,2
내 기준 괜찮은 사람 발견 했는데 남친 있는지 물어봐도 돼 ?,얼른 물어보세요 ,2
내 남사 친 이랑 잘 되고 싶어 그 는 나를 여자 로 봐줄까 ?,이성 으로 어필 해야죠 ,2
내 남자 로 만들기,사랑 은 소유 하는 게 아니에요 ,2
내 마음 들킨 거 같아,그래 봤자 상대방 이 더 좋아할 거 예요 ,2
내 마음 알면서도 모른 척 하는거면 어떡해 ?,당신 의 인연 인 아닌가보다 생각 하세요 ,2
내 마음 에 온통 너 야,올인 은 좋 은 게 아니에요 ,2
내 마음 을 보여주는 게 어려워,상대 가 부담스러워하지 않게 나를 사랑 하고 상대 를 사랑 해주세요 ,2
내 맘대로 되지가 않아 ,저 도 제 마음대로 되면 더 바랄 게 없겠네요 ,2
내 번호 를 따 간 사람 이 내 친구 가 좋아하는 애 야 ,운명 의 장난 같네요 ,2
내 사랑 이 부족한 걸까 ?,더 노력 해보세요 ,2
내 사랑 이 있을까 ?,눈 을 크게 뜨고 잘 찾아보세요 ,2
내 아이돌 이랑 연애 하 보고 싶다,환상 이 깨지면 많이 슬플 거 예요 ,2
내 여자 로 만들기,사랑 은 소유 하는 게 아니에요 ,2
내 여자 하자 ,저 라도 괜찮나요 ?,2
내 왜 좋아할까 ?,당신 존재 자체 만으로 이유 가 됩니다 ,2
내 이상형 도 아닌데 그 여자 를 왜 좋아하는지 모르겠어 ,이상형 은 이상형 일 뿐 이니까 요 ,2
내 이상형 이 뭔 지 모르겠어 ,이상형 이 꼭 있어 야할 필요 는 없어요 ,2
내 이상형 이 아닌데 그 남자 를 왜 이렇게 좋아할까 ,이상형 은 이상형 일 뿐 이니까 요 ,2
내 존재 를 알리 고 싶어,우연 을 가장 해서 여러 번 마주쳐 보세요 ,2
내 첫사랑 이 날 기억 못 해 ,모든 기억 은 같지 않으니 너무 실망하지 마세요 ,2
내 친구 가 내 짝남 욕 을 계속 해 ,친구 가 좋아하는지 모르고 있나 봅니다 ,2
내 친구 가 내 짝남 좋아하나 ?,그렇게 느껴진다면 사실 일지 도 모르겠네요 ,2
내 친구 들 이 다 별로 라고 하는 짝녀 나 만 좋다면 연락 하는게 맞는걸 까 ?,다른 사람 들 이 별로 라고 말 하는 이유 를 생각 해보세요 ,2
내 친구 랑 내 짝남 이 서로 좋아하는 것 같아 ,안타까운 상황 이네 요 ,2
내 친구 랑 내 짝녀 가 서로 좋아하는 것 같은데 나 어떡함 ?,천천히 마음 을 정리 하는게 필요하겠어요 ,2
내 가 그 사람 을 좋아하는 건지 아닌지 착각 이 들어 ,확신 이 서지 않을 때 가 있지요 ,2
내 가 그냥 아는 여자 라네 ?,그런 남자 신경 쓰지 마세요 ,2
내 가 그냥 학교 후배 래,그런 사람 신경 쓰지 마세요 ,2
내 가 그녀 를 생각 하는 만큼 그녀 도 다른 사람 을 생각 하겠지 ,그런 생각 은 접어 두는게 맘 편합니다 ,2
내 가 그 를 생각 하는 만큼 그 도 나를 생각 할까 ,내 가 어떻게 생각 하는지가 중요해요 ,2
내 가 그 사람 한테 필요했으면 좋겠어,사적 영역 에 깊숙이 들어가 보세요 ,2
내 가 너무 기댄 거 같아,상대방 도 똑같은 인간 이라는 걸 잊지 마세요 ,2
내 가 너무 몰아 붙였나 봐,좀 더 차분하게 생각 할 시간 을 주세요 ,2
내 가 너무 이 기적 이었어,상대방 도 똑같은 인간 이라는 걸 잊지 마세요 ,2
내 가 너무 진지한 걸까 ,부담 되지 않는 선 에서 진중한 태도 도 좋네요 ,2
내 가 누굴 좋아하는지 헷갈리면 이상해 ?,확신 이 없다면 헷갈릴 수 있지요 ,2
내 가 더 사랑 할까 ?,누가 더 사랑 하는지는 중요하지 않아요 ,2
내 가 더 좋아하는 거 같은 느낌 이야 ,그래 봤자 상대방 이 더 좋아할 거 예요 ,2
내 가 더 좋아하는 관계,내 가 더 좋아해도 덜 좋아해도 상관없어요 ,2
내 가 무의식 중 에 무시 하는 듯 한 말투 를 썼어,상대방 을 존중 해주세요 ,2
내 가 사랑 하는 사람 이 나를 사랑 했으면,그 사람 도 당신 을 사랑 하고 있을지도 몰라요 ,2
내 가 사랑 해도 될까 ?,당연하죠 ,2
내 가 사랑 했던 그 사람 맞아 ?,사랑 했던 그 사람 의 다른 모습 이 보인거예요  그 사람 맞아요 ,2
내 가 생각 하는 만큼 걔 도 날 생각 할까 ?,확신 이 없나 보네요 ,2
내 가 생각 했던 사람 이 맞는지 확신 이 안 들어,새로운 모습 을 봤나 봐요 ,2
내 가 싫은 건 너 도 싫어해줘서 고마워,싫은 게 통해 야 편하죠 ,2
내 가 썸 깼는데 다시 연락 하고 싶어 ,감정 에 확신 이 있다면 연락 해보세요 ,2
내 가 여자 좋아하는 줄 알았는데 ,같은 여자 를 좋아할 수도 있는 거 예요 ,2
내 가 여자친구 의 전남자친구 보다 능력 이 부족해 ,사람 보고 만나는 걸테니 걱정 마세요 ,2
내 가 연락 끊은 짝남 한테 다시 연락 올 수 있는 법 좀 ,먼저 연락 해서 대화 를 이어 나가는 게 수월해요 ,2
내 가 오랫동안 좋아하던 사람 이 날 몰라 ,자신 의 존재 를 알리는 게 우선 이겠네요 ,2
내 가 이 사람 을 사랑 하는 건가 ?,자꾸 생각난다면 그럴 거 예요 ,2
내 가 좋대,저 도 좋아합니다 ,2
내 가 좋아하는 거 알았는데도 나를 대하는게 변함이 없어 ,친구 로 지내고 싶은 거 겠죠 ,2
내 가 좋아하는 거 티 내면 싫어할까 ?,부담스러울 수도 있겠어요 ,2
내 가 좋아하는 걸 티 냈는데 그 사람 은 반응 이 없어 ,서로 마음 이 같았으면 좋았을텐데 안타깝네요 ,2
내 가 좋아하는 걸 티 냈는데 못 알아챘을까 ?,못 알아차렸을 수도 있어요 ,2
내 가 좋아하는 남자 를 만나는게 나아 ? 나를 좋아하는 남자 를 만나는게 나아 ?,그건 본인 의 사랑 방식 에 따라 다릅니다 ,2
내 가 좋아하는 사람 보다 나를 좋아해주는 사람 만나는게 행복한거라 더니 ,아쉬운 부분 이 있나 봐요 ,2
내 가 좋아하는 사람 이 나를 신경 쓰게 하는 방법 조언 좀 ,질투 를 유발 해 보는 방법 도 있다고 합니다 ,2
내 가 좋아하는 사람 이 나를 좋아하는지 모르겠어 ,주변 에 물어보는 건 어떨까 요 ,2
내 가 좋아하는 사람 이 나를 창피해 하는 것 같아 ,너무 슬픈 말 이에요 ,2
내 가 좋아하는 사람 이 날 좋아해주는건 정말 기적 인 듯 ,행복한 일 이지 요 ,2
내 가 좋아하는 사람 이 날 좋아했으면 좋겠어 ,그것 만큼 좋은 일도 없죠 ,2
내 가 좋아하는 사람 이 누구 를 좋아하는지 궁금해 ,주변 사람 들 에게 물어보면 알 수 있지 않을까요 ?,2
내 가 좋아하는 사람 이 누군지 점점 헷갈려 ,결정 적 인 감정 의 변화 가 없었나 봐요 ,2
내 가 좋아하는 사람 이 다른 사람 을 좋아하는데 자괴 감 이 들어 ,자괴 감 이 들 필요 는 없어요 ,2
내 가 좋아하는 사람 이 다른 사람 을 짝사랑 해  도와줘야 할까 ,도와주다가 마음 이 더 다칠 거 예요 ,2
내 가 좋아하는 사람 이 유명해지면 기분 이 어떨까 ,좋으면서도 서운하지 않을까요 ,2
내 가 좋아하는 사람 이랑 나이 차이 가 많이 나는데 괜찮을까 ?,나이 차이는 중요하지 않아요 ,2
내 가 좋아하는 애가 날 좋아하는 것 같으면 갑자기 정 떨어지고 뭔가 싫어짐,어떤 심리 일까 요 ,2
내 가 좋아하는 애가 유학 간대 ,정말 섭섭한 기분 이겠네요 ,2
내 가 좋아하는 애 를 내 친구 가 계속 욕 하는게 맘 에 안 들어 ,특별한 이유 가 없다면 서운함을 전 해보세요 ,2
내 가 좋아하는 애 를 내 친구 가 좋아하는게 맘 에 안 들어 ,딱 질투 네 요 ,2
내 가 좋아하는 여자애 를 따라 좋아하는 애가 있음 ,먼저 좋아하고 있었을지도 몰라요 ,2
내 가 좋아하는걸 그 사람 이 알았으면 좋겠어 ,마음 을 조금씩 전 해보세요 ,2
내 가 좋아하는지 그 애가 아예 몰라 ,조금 은 티 를 내 봐야죠 ,2
내 가 좋아할 자격 이 있나 모르겠어 ,그냥 좋아하면 돼요 ,2
내 가 좋아할 자격 이 있나 모르겠어 ,좋아하는데 자격 은 없어요 ,2
내 가 좋아해도 될까 ?,누구 나 좋아할 권리 가 있어요 ,2
내 가 좋아해도 될까 ?,좋아하는데 자격 은 없어요 ,2
내 가 진짜 둔한데 나를 좋아하는지 모르겠어 ,직접 적 으로 물어보는게 좋겠어요 ,2
내 가 집착 하는 걸까 ?,집착 일 수도 있겠어요 ,2
내 가 첫 연애 래,더 잘 해주세요 ,2
내 가 첫사랑 이래,그 사람 에게 잘 해주세요 ,2
내 가 최대한 잘 해줘도 불만 이 많아,서로 원하는 기 대 치가 다른 것 같아요 ,2
내 가 친절하니까 쉬워 보이 나 ?,그런 사람 만나지 마세요 ,2
내 가 해본 연애 중 에 짝사랑 인데 이뤄진 연애 는 없는 듯 ,이제 그런 경우 를 만들어 봐요 ,2
내 가 해주는 것 도 없는데 나 한테 너무 잘해줘,무엇 을 해줘서 잘 하는게 아니라 곁 에 존재 해주었다는 이유 만으로 삶 이 풍부해진 것 같아요 ,2
내일 개강 총회 인데 짝녀 한테 어떻게 잘 보이지 ,옆 에서 잘 챙겨주면 좋을 것 같아요 ,2
내일 결혼식 이야,떨리겠어요 ,2
내일 더 사랑 해,달콤한 말이네요 ,2
내일 만나자고 해볼까 ?,멋지게 데이트 신청 해보세요 ,2
내일 뭐 입고 나갈까,날씨 에 맞게 입는 게 좋을 것 같아요 ,2
내일 짝남 이랑 영화 보러 간당 ,좋은 시간 보내고 와요 ,2
내일 짝녀 랑 영화 보러 갑니다 ,많이 떨리겠어요 ,2
낼 짝남 한테 잘 보이 고 싶어 ,실수 하지 않는다면 잘 할 거 예요 ,2
낼 짝녀 한테 잘 보이 고 싶어 ,실수 하지 않는다면 잘 할거라 생각 해요 ,2
너 생각 이 났어 ,어머나,2
너 도 썸 타 ?,저 도 썸 을 탑니다 ,2
너 라서 행복해,달콤한 말 이 예요 ,2
너 를 사랑 한 시간,그 시간 들 이 중요하죠 ,2
너무 사랑 하는데 동거 해도 될까 ?,책임질 수 있다면 하고 싶은 대로 하세요 ,2
너무 설레서 울렁거려 ,부러워요  자연스러운 현상 이에요 ,2
너무 예민한 여자친구,너그럽게 봐 달라 고 말 해보세요 ,2
너무 잘해주면 질려하나 ?,좋은 사람 이 라면 고마워 할 거 예요 ,2
너무 잘 해줬더니 당연한줄 아 네,호의 를 권리 로 아는 사람 만나지 마세요 ,2
너무 좋아서 절제 가 안 돼 ,자연스러운 현상 이에요 ,2
너무 좋아하면 남자친구 가 부담스러워 할까 ?,너무 좋아해주면 사랑스러워 보일 거 같아요 ,2
너무 쿨한 남자친구 가 고민 이야 ,쿨 방망이 로 때려주세요 ,2
너무 행복해  오래 갈 수 있을까 ?,노력 하면 가능할 거 예요 ,2
너무 행복해  오래 갈 수 있을까 ?,오래 갈 수 있을 거 예요 ,2
너 와 내 가 인연 이었으면 좋겠어,인연 은 만들어 가는거예요 ,2
넘치는 사랑 받고 있어,당신 은 사랑 받을 만 한 사람 이에요 ,2
노 는 거 좋아하는 남자 는 좋아하면 힘들겠지 ?,지금 은 괜찮지만 힘들 거 예요 ,2
노 는 거 좋아하는 사람 은 좋아하면 힘들거야 ,지금 은 괜찮더라도 힘들 거 예요 ,2
노 는 것 좋아하는 여자 이쁜데 좀 그래 ,자신 의 가치관 에 상대 를 속박 하지 말아요 ,2
놀러 다니기 좋아하는 남자 착하긴한데 나 랑은 안 맞다고 생각 이 들어 ,안 맞는다면 정리 하는 편이 좋을 거 예요 ,2
놓치고 싶지 않는 사람,운명 인가 봐요 ,2
누가 날 좋아하는 걸 알 면 어떤 생각 이 들어 ?,처음 엔 당황 스러울 거 예요 ,2
누가 더 사랑 할까 ?,누가 더 사랑 하는지는 중요하지 않아요 ,2
누가 봐도 썸 타는 사이 인데 연락 이 없어 ,먼저 연락 하는 것 도 좋을 거 같아요 ,2
누구 에게나 친절한 남자 위험해 ?,어떻게 하느냐에 달려있겠죠 ,2
누군가 를 좋아하는게 과연 행복한 걸까 ,행복하지만은 않겠지요 ,2
누군가 를 좋아하는게 두려워 ,좋아하는 감정 을 느낀다는 자체 가 참 행복한 거 예요 ,2
누군가 를 좋아하는게 이렇게 힘들줄 알았다면 시작 도 안 했을거야 ,후회 하고 번복 하게 되는게 참 이상하죠 ,2
누군가 를 좋아한다는건 정말 힘들 일이 야 ,좋아하는 감정 은 정말 복잡하고 힘들어요 ,2
누군가 를 좋아해 본 적 이 없는데 문제 가 있는걸 까 ?,그것 은 전혀 문제 되지 않아요 ,2
누군가 를 짝사랑 하게 되는게 두려워 ,이제 짝사랑 말고 둘이서 하는 사랑 하세요 ,2
눈 뜨면 생각나는 사람,깊은 사랑 에 빠지셨군요 ,2
눈 에서 멀어져도 좋아하는 건 어떡하죠 ?,생각 에서 멀어지지 않았나 봐요 ,2
눈 을 감아도 보고 싶어,상사병 걸리 기전 에 찾아가 보세요 ,2
눈 이 자꾸 마주쳐,자꾸 시선 을 마주쳐 보세요 ,2
다 맞춰주고 싶은 사람,정말 사랑 하고 있나 봐요 ,2
다 잊었는데 다시 그녀 가 나타났어,마음 이 혼란 스럽겠어요 ,2
다 잘맞는데 가치관 이 다른 연애 가 고민 ,가치관 이 중요한 거 같아요 ,2
다니던 회사 를 그만두고 1년 간 여행 을 가자고 해 ,큰 용기 가 필요하겠네요 ,2
다 들 우리 잘 어울린대,잘 어울리는 한 쌍 이에요 ,2
다른 사람 은 잘만 하는 연애,서툰 연애 도 연애 에요 ,2
다시 만나서 사랑 할 수 있을까 ?,진정 으로 사랑 한다면 다시 시작 해보세요 ,2
다시 사랑 이 오겠지 ?,충분히 좋은 사람 만날 수 있을 거 예요 ,2
다시 썸 타는 방법,천천히 다시 다가 가보세요 ,2
다시 웃게 해준 사람,그 사람 이 당신 의 홈 닥터 군 요 ,2
다시 태어나도 만나고 싶은 사람,말로 만 들어도 좋겠네요 ,2
다 썸 이 뭐 야 ?,여러 사람 이랑 썸 타는 거 요 ,2
다정한 사람 만나고싶어,그런 사람 만나길 바랄게요 ,2
단 하루 도 널 사랑 하지 않은 날 이 없었어,멋진 말이네요 ,2
단둘 이 놀자,봄 꽃 구경 가는걸 추천 합니다 ,2
단 톡방 에서 내 톡 에만 답장 해  썸 각 ?,호감 이 있을 수도 있어요  그렇지만 조금 더 상황 을 지켜보세요 ,2
답 프로포즈 해볼까 ?,정말 좋아할 거 예요 ,2
대부분 무 덤덤한 남자친구 가 고민 임 ,감정 에 솔직해질 수 있게 조금씩 변화 시켜 봐요 ,2
대출 엄청 끼 고 집 사,갚을 능력 이 되는지 생각 해보세요 ,2
대출 껴서 집사 는 게 맞나 ?,갚을 능력 이 되는지 생각 해보세요 ,2
대학교 고 학번 선배 랑 썸 타도 되나 ?,학번 이 대수 인가요 ,2
대학교 에서 첫사랑 다시 만났어 ,운명 적 인 만남이네요 ,2
대화 가 안 통해,서로 더 이해 해보세요 ,2
대화 가 잘 통 하는 사람 이야,그런 사람 놓치지 마세요 ,2
댄디 한 남자 사귀 고파,그런 사람 만나길 바랄게요 ,2
더 사랑 하고 싶다,감정 에 솔직한 모습 이 보기 좋아요 ,2
더 사랑 해달라고 말 해볼까,귀 여울 거 같아요 ,2
더 사랑 해달 래,더 많이 표현 해주세요 ,2
더 사랑 해줘,사랑 해요 !,2
더 알 고 싶어 지는 사람 이야,자세히 관찰 해보세요 ,2
덜 좋아하는게 답 인 것 같아 ,그러는 편이 덜 상처 겠지요 ,2
데이트 계획 을 너무 나 만 짜는거 같아 ,데이트 계획 짜오 라고 해봐요 ,2
데이트 비용 은 보통 어떻게 내 ?,같이 내는 게 좋죠 ,2
데이트 장소,영화관 공원 놀이동산 바다 산 축제 도서관 엄청 많죠 ,2
데이트 장소 가 항상 고민 이야,안 가본 곳 에 가보세요 ,2
데이트 통장 만들까 ?,합리 적 인 소비 를 할 수 있을 거 예요 ,2
데이트 할 때 너무 많이 먹는 남자친구 가 고민 이야 ,건강 이 걱정 된다고 대화 를 나눠 보세요 ,2
데이트 는 어디 로 가 ?,맛집 투어 도 좋아요 ,2
데이트비용 이 너무 많이 나와,같이 상의 해보세요 ,2
데이트 중 에 정적 있어도 괜찮을까 ?,정적 이 있을 때 아무렇지도 않으면 편안해진 거 예요 ,2
데이트 하고 보통 몇 시 쯤 에 집 에 들어가 ?,막차 타고 집 에 오죠 ,2
데이트 하는데 무한리필 만 가,다른 데이트 를 제안 해보세요 ,2
데이트 할 시간 이 없네,마음 이 없는 걸 수도 있어요 ,2
도대체 사랑 이 뭐 니 ?,당신 이 사랑 이라고 생각 하는 모든 것 들 이 사랑 이라고 할 수 있어요 ,2
도서관 에서 항상 같은 자리 에 앉는 여자 가 계속 떠올라 ,첫 눈 에 반했나 봐요 ,2
돈 이 없으면 연애 를 하지 않는게 맞는걸 까 ,돈 없어도 할 수 있는 데이트 코스 도 많아요 ,2
동거 하다 걸렸어,난처하시겠네요 ,2
동거 하는 거 부모님 이 알 게 되셨어,오해 를 풀 고 사랑 을 이어가세요 ,2
동거 하는데 헤어져 야할 거 같아,단점 들 을 많이 봤나 봐요 ,2
동거 하다 사랑 이 식으면 어떡해 ?,걱정 하면 아무 것 도 못 해요,2
동거 하다가 헤어질까봐 걱정 이야,걱정 하면 아무 것 도 못 해요,2
동거 해도 될까 ?,안 보 이던 장점 과 단점 이 모두 보이 게 될 거 예요 ,2
동네 친구 랑 썸 괜찮을까,자주 만나고 좋을거예요 ,2
동물 좋아하는 사람 어때 ?,동물 좋아하는 사람 치고 나쁜 사람 없어요 ,2
동물 좋아하는 사람 은 착한가 ?,따뜻할 거 같아요 ,2
동물 을 너무 좋아해,마음 이 따뜻할 것 같아요 ,2
동성애 어떻게 생각 해,모든 사랑 을 존중 합니다 ,2
동성 을 사랑 해,당신 을 존중 해요 ,2
동성 을 좋아하는게 비정상 이 아닌 걸 아는데 고백 하는건 망설여져 ,고백 은 아무래도 더 큰 용기 가 필요하니까 요 ,2
동성 친구 좋아하는 사람 없어 ?,생각 보다 많아요 ,2
동아리 에서 마음 에 드는 남자 만났어 !,동아리 에 가기 즐거워지겠네요 ,2
두 남자 사이 에서 갈등 중,빠른 선택 으로 모두 에게 상처 를 덜 주길 바랍니다 ,2
두 사람 한테 거의 동시 에 고백 받았어,빠른 선택 으로 모두 에게 상처 를 덜 주길 바랍니다 ,2
두 여자 사이 에서 갈등 하고 있어,빠른 선택 으로 모두 에게 상처 를 덜 주길 바랍니다 ,2
두근두근 해,가슴 뛰는 사랑 오래오래 하세요 !,2
두 달 사겼어,좋은 만남 이어가길 바라요 ,2
뒷담화 좋아하는 사람 어떻게 생각 해요 ?,아마 조금 꺼려질 것 같아요 ,2
드라마 같은 사랑 하고 싶어,드라마 는 현실 과 달라 요 ,2
드레스 입어보는 거 재밌어 !,여러 벌 입어보고 마음 에 드는 걸 로 선택 하세요 ,2
딩크족 으로 살거야,남 의 시선 말고 자신 만 생각 하세요 ,2
딱 1년 연애,달달 할 시기 네 요 ,2
딱 내 이상형 이야,이상형 을 만나는 경우 는 흔 치 않는데 대단하네요 ,2
딱 내 취향 인데,용기 를 내 보세요 ,2
또 고백 해볼까 ?,도전 정신 마음 에 드네 요 ,2
또 사랑 이 올 줄 몰랐어,사랑 을 시작 하게,2
띠 동갑 짝사랑 하는데 괜찮을까 ,사랑 에 나이 가 없어요 ,2
라면 먹고 갈래 말 해볼까 ?,엄청난 용기 가 필요하겠네요 ,2
랜선 연애 어떻게 생각 해 ?,얼굴 을 안 보고 부딪히지도 않아서 제대로 된 연애 가 가능하지 않을 수도 있지만 다 나쁜 건 아니에요 ,2
랜선 연애 로 잘 되 기도 해 ?,랜선 연애 하다가 직접 만나서 좋으면 잘 되는 거 죠 ,2
랜선 연애 중,현실 연애 로 이어지길 바랍니다 ,2
랩 추천 좀  나 좋아하는 남자 애 한테 잘 보이 고 싶어 ,최신 인기 차트 를 찾아보는 걸 추천 해요 ,2
로맨틱 한 고백,생각 만해 도 달콤하네요 ,2
로맨틱 한 사랑 하고 싶다,달콤한 말 과 몸짓 으로 리드 를 해보세요 ,2
로맨틱 한 사랑 을 원해,달콤한 말 과 몸짓 으로 리드 를 해보세요 ,2
롱디 인데 너무 보고 싶어 ,떨어져 있는 만큼 더 그리울 거 같아요 ,2
롱디 인데 연락 이 자주 안 돼 ,롱디 는 연락 이 잘 되어야 하는데요 ,2
마음 맞는 사람 이 있을까 ?,서로 에게 맞춰 갈 수 있을 거 예요 ,2
마음 표현 하기가 힘들어,표현 도 연습 해야 해 요 ,2
마음 에 드는 사람 이 있는데,용기 있게 들이 대보세요 ,2
마음 에 드는 여자 가 있어요,자신감 있게 다가가 보세요 ,2
마음 에 든다는 걸 어떻게 알릴 수 있어 ?,자꾸 시선 을 마주쳐 보세요 ,2
마음 에 안 차는데 만나도 돼 ?,변화 가능성 을 생각 해보세요 ,2
마음 에 없는데 관계 를 하고 싶대,이런 고민 하지 말고 자신 을 더 소중히 여겨주세요 ,2
마음 에 없는데 관계 를 하고 싶대,정리 하고 좋은 사람 만나세요 ,2
마음 을 들켰나 봐,그냥 다 말 해보세요 ,2
마음 을 아무리 밀어내도 안 돼,마음 은 마음대로 되지 않아요 ,2
마음 을 확실하게 아는 방법,직접 물어보는 게 좋을 것 같습니다 ,2
마음 이 변할까봐 두려워,서로 에게 믿음 을 주세요 ,2
마음 이 식은 거 같아,나를 사랑 하지 않는 사람 하고 계속 가는 건 나 자신 을 사랑 하지 않는 사람 들 이나 하는 일이 에요 ,2
마음 이 예쁜 사람 만나고 싶어,마음 이 예쁜 사람 을 찾는 게 더 힘들 거 예요 ,2
마음 이 자꾸 쓰이네 ,관심 이 가나 봐요 ,2
마중 나 가볼까 ?,고민 하지 말고 실행 에 옮기세요 ,2
만나는 사람 마다 유형 이 비슷해,자신 이 변하지 않았기 때문 이 겠죠 ,2
만나는데 혈액형 이 중요해 ?,전혀 중요하지 않아요 ,2
만나도 불안하면 어떡해 ?,믿음 이 아직 부족한 가봐요 ,2
만나자,말 해보세요 ,2
만나지 얼마 안 됐는데 여행 가재,아직 마음 의 준비 가 안 됐다고 말 해보세요 ,2
만난 지 100일,알콩달콩 사랑 할 때 네 요 ,2
만난 지 100일 됐는데 여행 가재,아직 마음 의 준비 가 안 됐다고 말 해보세요 ,2
만난 지 1년 됐어,달달 할 시기 네 요 ,2
만난 지 1년 인데 결혼 해도 될까 ?,사계절 만나 봤으면 알 만큼 알았잖아요 ,2
